City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,clyde river,75,CA,1583453415,67,70.47,-68.59,-23.8,12.75
1,phuket,20,TH,1583453527,88,8.0,98.25,77.0,11.39
2,kodiak,1,US,1583453477,39,57.79,-152.41,30.2,25.28
3,mataura,70,NZ,1583453150,64,-46.19,168.86,66.0,1.99
4,isangel,75,VU,1583453422,79,-19.55,169.27,84.2,9.17
5,nortelandia,26,BR,1583453528,81,-14.45,-56.8,73.26,0.72
6,dikson,41,RU,1583453150,99,73.51,80.55,-26.43,10.0
7,ahipara,5,NZ,1583453528,90,-35.17,173.17,73.99,13.44
8,carnarvon,0,AU,1583453398,83,-24.87,113.63,73.4,6.93
9,fairbanks,1,US,1583453238,63,64.84,-147.72,-0.99,1.61
10,taltal,3,CL,1583453529,89,-25.4,-70.48,59.63,3.44
11,ushuaia,40,AR,1583453374,48,-54.8,-68.3,64.4,11.41
12,murray bridge,44,AU,1583453529,84,-35.12,139.27,68.0,3.0
13,port pirie,90,AU,1583453530,68,-33.18,138.02,64.4,5.82
14,luderitz,0,NA,1583453480,73,-26.65,15.16,71.6,1.12
15,grindavik,17,IS,1583453530,73,63.84,-22.43,28.4,21.92
16,albox,37,ES,1583453530,45,37.39,-2.15,62.6,4.7
17,mumford,98,GH,1583453531,82,5.26,-0.76,77.52,4.5
18,san miguel,41,SV,1583453531,59,13.48,-88.18,89.6,4.7
19,sandwick,20,GB,1583453531,80,60.0,-1.25,41.0,11.41
20,atuona,0,PF,1583453158,62,-9.8,-139.03,82.0,7.45
21,tucumcari,1,US,1583453532,28,35.17,-103.72,57.2,10.29
22,tuktoyaktuk,5,CA,1583453403,74,69.45,-133.04,-25.6,6.93
23,rikitea,39,PF,1583453392,72,-23.12,-134.97,77.99,18.68
24,norman wells,20,CA,1583453447,52,65.28,-126.83,-7.6,3.36
25,dayong,40,CN,1583453533,81,25.02,118.29,53.6,2.24
26,geraldton,90,AU,1583453408,64,-28.77,114.6,73.4,13.87
27,terney,0,RU,1583453533,78,45.05,136.61,22.21,4.18
28,hualmay,82,PE,1583453533,75,-11.1,-77.61,73.45,5.53
29,georgetown,40,MY,1583453401,83,5.41,100.34,80.6,5.82
30,hithadhoo,51,MV,1583453434,70,-0.6,73.08,82.85,8.63
31,punta arenas,27,CL,1583453401,55,-53.15,-70.92,62.6,6.93
32,harper,100,LR,1583453534,94,4.38,-7.72,78.19,3.62
33,aykhal,90,RU,1583453534,92,66.0,111.5,10.4,8.95
34,victoria,20,HK,1583453407,72,22.29,114.16,66.99,17.22
35,mae sai,2,TH,1583453535,82,20.43,99.88,63.0,3.36
36,busselton,43,AU,1583453404,59,-33.65,115.33,66.99,9.1
37,daru,100,PG,1583453535,84,-9.08,143.21,84.2,2.51
38,port lincoln,93,AU,1583453494,63,-34.73,135.87,62.04,10.18
39,bambous virieux,40,MU,1583453420,94,-20.34,57.76,81.0,11.41
40,sambava,72,MG,1583453518,79,-14.27,50.17,74.34,2.93
41,itaituba,70,BR,1583453536,96,-4.28,-55.98,75.11,1.57
42,galle,22,LK,1583453537,82,6.04,80.22,79.77,7.27
43,den helder,90,NL,1583453537,93,52.96,4.76,43.0,13.87
44,thompson,5,CA,1583453331,91,55.74,-97.86,32.0,6.93
45,hermanus,32,ZA,1583453393,84,-34.42,19.23,73.0,13.0
46,bozeman,1,US,1583453397,39,45.68,-111.04,57.2,3.36
47,tasiilaq,31,GL,1583453428,72,65.61,-37.64,14.0,2.24
48,upernavik,100,GL,1583453350,95,72.79,-56.15,-11.65,10.13
49,vaini,20,TO,1583453396,74,-21.2,-175.2,84.2,9.17
50,ginir,2,ET,1583453539,59,7.13,40.7,61.14,4.68
51,salalah,0,OM,1583453430,56,17.02,54.09,73.4,4.7
52,inhambane,10,MZ,1583453475,74,-23.86,35.38,76.84,15.73
53,saint-philippe,20,RE,1583453161,83,-21.36,55.77,80.6,3.36
54,east london,100,ZA,1583453441,77,-33.02,27.91,76.89,3.38
55,westport,1,US,1583453330,45,41.14,-73.36,46.99,9.17
56,bluff,78,NZ,1583453454,64,-46.6,168.33,66.0,1.99
57,okhotsk,19,RU,1583453540,87,59.38,143.3,-2.07,5.01
58,kruisfontein,21,ZA,1583453362,95,-34.0,24.73,66.61,4.45
59,puerto ayora,20,EC,1583453405,78,-0.74,-90.35,82.4,11.41
60,castro,63,BR,1583453392,97,-24.79,-50.01,60.48,6.82
61,huzhou,35,CN,1583453541,72,30.87,120.09,46.0,8.86
62,kaitangata,62,NZ,1583453469,71,-46.28,169.85,56.57,20.04
63,butaritari,100,KI,1583453163,79,3.07,172.79,83.32,15.64
64,vestmannaeyjar,25,IS,1583453449,71,63.44,-20.27,31.19,26.55
65,biltine,98,TD,1583453542,16,14.53,20.92,76.53,8.48
66,ivanava,81,BY,1583453542,89,52.15,25.54,35.4,3.47
67,yuci,0,CN,1583453542,64,37.68,112.73,32.0,2.24
68,zhezkazgan,55,KZ,1583453542,91,47.8,67.71,10.76,11.5
69,mar del plata,83,AR,1583453286,83,-38.0,-57.56,71.6,12.75
70,airai,100,TL,1583453543,90,-8.93,125.41,70.77,1.01
71,chuy,0,UY,1583453401,81,-33.7,-53.46,66.99,8.97
72,husavik,90,IS,1583453543,86,66.04,-17.34,30.2,20.8
73,kapaa,75,US,1583453148,74,22.08,-159.32,80.6,18.34
74,praia,0,CV,1583453495,69,14.92,-23.51,73.4,20.8
75,katsuura,20,JP,1583453408,31,35.13,140.3,48.2,25.28
76,hobart,40,AU,1583453270,72,-42.88,147.33,64.0,16.11
77,dingzhou,68,CN,1583453544,74,38.51,115.0,28.4,2.24
78,albany,1,US,1583453115,51,42.6,-73.97,39.2,3.36
79,turukhansk,100,RU,1583453545,97,65.82,87.98,-8.41,7.87
80,tomari,100,RU,1583453545,75,47.77,142.07,27.25,15.1
81,kachug,67,RU,1583453545,98,53.96,105.88,3.96,1.79
82,mackay,90,AU,1583453498,83,-21.15,149.2,84.0,4.7
83,haveli,81,PK,1583453405,93,30.45,73.7,55.74,12.71
84,samarai,100,PG,1583453395,65,-10.62,150.67,86.94,5.39
85,staraya russa,100,RU,1583453547,93,57.99,31.36,36.52,4.56
86,bethel,1,US,1583453449,36,41.37,-73.41,46.99,2.53
87,umm lajj,15,SA,1583453548,31,25.02,37.27,67.15,3.51
88,turkistan,0,KZ,1583453548,63,43.0,68.0,36.5,4.74
89,tiksi,100,RU,1583453400,92,71.69,128.87,2.97,9.28
90,cape town,34,ZA,1583453180,73,-33.93,18.42,73.0,6.93
91,beya,100,RU,1583453548,86,53.05,90.91,22.32,10.98
92,kavieng,100,PG,1583453413,67,-2.57,150.8,84.67,3.51
93,rocha,16,UY,1583453549,93,-34.48,-54.33,61.9,7.23
94,caohe,85,CN,1583453550,87,30.23,115.43,52.12,9.24
95,padang,100,ID,1583453462,71,-0.95,100.35,68.83,4.38
96,souillac,40,MU,1583453226,94,-20.52,57.52,81.0,11.41
97,bosaso,81,SO,1583453404,78,11.28,49.18,77.18,7.85
98,bakchar,88,RU,1583453478,97,57.02,82.07,2.34,5.79
99,faanui,17,PF,1583453467,60,-16.48,-151.75,82.54,2.19
100,port alfred,76,ZA,1583453165,94,-33.59,26.89,69.01,7.18
101,saldanha,57,ZA,1583453472,69,-33.01,17.94,73.4,3.36
102,collie,31,AU,1583453551,83,-33.37,116.15,66.0,8.01
103,jamestown,1,US,1583453193,41,42.1,-79.24,42.8,4.7
104,severo-kurilsk,100,RU,1583453471,86,50.68,156.12,24.35,13.58
105,nikolskoye,40,RU,1583453432,95,59.7,30.79,37.0,4.47
106,tateyama,20,JP,1583453552,31,34.98,139.87,50.0,25.28
107,xiongzhou,84,CN,1583453552,85,25.12,114.3,57.38,2.33
108,antofagasta,20,CL,1583453160,77,-23.65,-70.4,68.0,10.29
109,shubarshi,71,KZ,1583453553,84,48.59,57.19,27.37,15.64
110,campbell river,75,CA,1583453553,70,50.02,-125.24,48.2,3.36
111,roma,75,US,1583453334,55,43.21,-75.46,37.99,5.82
112,leningradskiy,12,RU,1583453163,75,69.38,178.42,-3.93,2.77
113,ixtepec,2,MX,1583453554,50,16.58,-95.1,78.51,27.87
114,reinosa,24,ES,1583453554,76,43.0,-4.14,50.0,9.17
115,port elizabeth,90,ZA,1583453468,94,-33.92,25.57,71.6,2.24
116,cidreira,0,BR,1583453402,72,-30.18,-50.21,73.44,10.22
117,wanning,97,CN,1583453555,91,18.8,110.4,72.57,8.66
118,ialibu,98,PG,1583453555,78,-6.28,143.99,70.47,2.33
119,hilo,90,US,1583453237,61,19.73,-155.09,78.8,9.17
120,kushima,20,JP,1583453556,75,31.46,131.23,41.0,9.17
121,tezu,0,IN,1583453556,61,27.92,96.17,57.25,1.77
122,new norfolk,40,AU,1583453391,72,-42.78,147.06,64.0,16.11
123,muros,75,ES,1583453353,93,42.78,-9.06,54.0,11.41
124,pecos,1,US,1583453419,28,31.42,-103.49,71.6,3.36
125,mahebourg,40,MU,1583453397,94,-20.41,57.7,81.0,11.41
126,quatre cocos,40,MU,1583453557,94,-20.21,57.76,81.0,9.17
127,cherskiy,100,RU,1583453371,94,68.75,161.3,-3.44,5.55
128,wellington,38,NZ,1583453382,55,-41.29,174.78,69.01,8.05
129,pevek,25,RU,1583453438,76,69.7,170.31,-5.57,10.0
130,russell,90,US,1583453291,87,32.35,-85.2,55.0,9.17
131,saint-louis,0,SN,1583453438,28,16.33,-15.0,80.6,2.24
132,chicama,75,PE,1583453559,78,-7.84,-79.15,75.2,10.29
133,qaanaaq,39,GL,1583453421,86,77.48,-69.36,-22.47,4.21
134,vidalia,90,US,1583453559,87,32.22,-82.41,54.0,9.17
135,chapais,90,CA,1583453560,53,49.78,-74.85,21.2,6.93
136,toora-khem,100,RU,1583453560,91,52.47,96.11,9.41,1.92
137,taman,100,RU,1583453560,35,45.21,36.72,55.4,8.95
138,tambura,3,SS,1583453560,28,5.6,27.47,71.73,1.25
139,kangaatsiaq,100,GL,1583453561,90,68.31,-53.46,9.01,7.47
140,donskoye,89,RU,1583453561,93,45.46,41.97,37.4,13.42
141,lorengau,78,PG,1583453561,69,-2.02,147.27,83.8,2.13
142,sitka,90,US,1583453392,86,57.05,-135.33,37.4,10.29
143,coihaique,84,CL,1583453436,56,-45.58,-72.07,68.0,3.36
144,kaeo,59,NZ,1583453562,90,-35.1,173.78,73.99,23.67
145,ixtapa,75,MX,1583453562,73,20.7,-105.2,75.2,12.75
146,liyang,78,CN,1583453562,78,29.71,118.29,43.75,2.19
147,bredasdorp,47,ZA,1583453420,88,-34.53,20.04,73.0,8.05
148,manchenky,100,UA,1583453563,75,49.98,35.86,46.4,15.66
149,pangnirtung,40,CA,1583453455,70,66.15,-65.71,-2.2,6.93
150,sao jose da coroa grande,5,BR,1583453563,77,-8.9,-35.15,83.08,13.58
151,san cristobal,39,VE,1583453412,72,7.77,-72.22,55.02,1.41
152,ilhabela,0,BR,1583453533,68,-23.78,-45.36,75.24,6.6
153,mazabuka,15,ZM,1583453564,97,-15.86,27.75,60.22,3.6
154,hasaki,20,JP,1583453395,36,35.73,140.83,48.0,12.75
155,dunedin,39,NZ,1583453354,61,-45.87,170.5,62.01,24.0
156,bonavista,98,CA,1583453564,83,48.65,-53.11,29.91,21.05
157,safaga,0,EG,1583453565,72,26.73,33.94,66.2,3.36
158,lompoc,20,US,1583453269,72,34.64,-120.46,69.8,12.75
159,sioux lookout,20,CA,1583453433,45,50.1,-91.92,26.6,6.93
160,caravelas,100,BR,1583453193,83,-17.71,-39.25,81.52,7.18
161,qaqortoq,75,GL,1583453480,37,60.72,-46.03,37.4,25.28
162,nanortalik,100,GL,1583453183,69,60.14,-45.24,30.88,23.13
163,te anau,95,NZ,1583453492,65,-45.42,167.72,58.55,1.28
164,ponta do sol,75,PT,1583453398,55,32.67,-17.1,62.6,17.22
165,tessalit,0,ML,1583453566,10,20.2,1.01,72.46,8.32
166,avarua,52,CK,1583453192,74,-21.21,-159.78,84.2,4.7
167,mandera,100,KE,1583453567,67,3.94,41.87,80.91,12.59
168,chimoio,8,MZ,1583453567,98,-19.12,33.48,62.62,3.83
169,fort nelson,90,CA,1583453567,70,58.81,-122.7,-2.2,14.99
170,lata,40,PT,1583453476,76,40.16,-8.33,55.99,11.41
171,natchitoches,1,US,1583453568,42,31.77,-93.13,69.8,10.29
172,rio gallegos,33,AR,1583453496,48,-51.62,-69.22,64.4,26.4
173,barrow,90,US,1583453156,77,71.29,-156.79,-0.4,10.29
174,rio grande,0,BR,1583453438,82,-32.03,-52.1,71.01,12.55
175,kemijarvi,97,FI,1583453569,97,66.71,27.43,28.02,7.52
176,havre-saint-pierre,90,CA,1583453569,50,50.23,-63.6,28.4,12.75
177,nalut,0,LY,1583453569,33,30.33,10.85,59.0,8.3
178,lieksa,100,FI,1583453569,92,63.32,30.02,32.07,9.35
179,nantucket,1,US,1583453466,80,41.28,-70.1,42.8,12.75
180,gerash,0,IR,1583453570,47,27.67,54.14,56.41,6.26
181,zhigansk,100,RU,1583453570,92,66.77,123.37,6.53,22.48
182,watsa,14,CD,1583453570,57,3.04,29.54,68.34,3.18
183,saskylakh,100,RU,1583453407,98,71.92,114.08,-6.27,6.15
184,bairiki,75,KI,1583453571,74,1.33,172.98,87.8,9.17
185,serowe,0,BW,1583453571,70,-22.38,26.72,62.11,5.08
186,constitucion,48,CL,1583453571,67,-35.33,-72.42,62.73,5.55
187,ingham,90,US,1583453571,80,42.6,-84.38,46.4,11.16
188,aklavik,20,CA,1583453414,56,68.22,-135.01,-11.2,3.36
189,labuhan,86,ID,1583453572,85,-6.88,112.21,77.29,3.78
190,krasnoselkup,100,RU,1583453572,88,65.7,82.47,-8.55,21.9
191,sinjai,100,ID,1583453573,79,-5.12,120.25,81.27,14.18
192,conde,0,BR,1583453573,78,-7.26,-34.91,82.4,5.82
193,ibirama,45,BR,1583453573,89,-27.06,-49.52,66.0,4.03
194,alofi,40,NU,1583453450,62,-19.06,-169.92,86.0,10.29
195,soddy-daisy,75,US,1583453574,87,35.24,-85.19,55.4,1.57
196,bakel,0,SN,1583453574,6,14.9,-12.46,82.62,8.16
197,torbay,75,CA,1583453405,79,47.67,-52.73,32.0,33.33
198,esperance,40,AU,1583453429,72,-33.87,121.9,64.4,12.75
199,yellowknife,90,CA,1583453396,69,62.46,-114.35,-7.01,11.41
200,grand gaube,40,MU,1583453424,94,-20.01,57.66,81.0,11.41
201,serenje,44,ZM,1583453575,94,-13.23,30.24,61.41,4.79
202,huai yot,20,TH,1583453447,100,7.79,99.63,75.2,3.11
203,saint-pierre,20,RE,1583453488,83,-21.34,55.48,80.6,4.7
204,provideniya,90,RU,1583453400,85,64.38,-173.3,15.8,4.47
205,anchorage,1,US,1583453576,31,61.22,-149.9,21.2,40.26
206,arawa,99,PG,1583453576,67,-6.21,155.54,86.14,4.88
207,salinopolis,0,BR,1583453404,78,-0.61,-47.36,81.55,12.88
208,samfya,70,ZM,1583453576,98,-11.36,29.56,62.38,4.76
209,kolvereid,35,NO,1583453576,86,64.87,11.6,34.03,6.71
210,broome,1,US,1583453476,64,42.25,-75.83,41.0,3.91
211,bengkulu,100,ID,1583453444,84,-3.8,102.27,75.16,3.0
212,kalat,71,PK,1583453577,87,29.02,66.59,34.65,15.66
213,arraial do cabo,20,BR,1583453441,83,-22.97,-42.03,73.4,5.82
214,kavaratti,38,IN,1583453578,69,10.57,72.64,82.04,9.08
215,mimongo,100,GA,1583453578,96,-1.62,11.61,69.37,1.72
216,arbagar,100,RU,1583453578,95,51.94,116.28,10.11,1.19
217,emba,68,KZ,1583453578,92,48.83,58.14,10.18,13.56
218,pierre,1,US,1583453579,42,44.37,-100.35,44.6,12.75
219,xining,0,CN,1583453495,80,36.62,101.77,26.89,4.5
220,chokurdakh,97,RU,1583453405,85,70.63,147.92,-9.4,5.77
221,erzin,75,TR,1583453580,87,36.96,36.2,64.99,5.82
222,matiri,99,TZ,1583453580,86,-10.75,34.9,59.5,2.01
223,swellendam,21,ZA,1583453460,88,-34.02,20.44,69.8,10.29
224,palapag,95,PH,1583453580,94,12.55,125.11,79.54,3.62
225,skibbereen,75,IE,1583453444,86,51.55,-9.27,37.4,16.11
226,adrar,0,MR,1583453581,9,20.5,-10.07,74.79,9.35
227,vanavara,100,RU,1583453581,90,60.34,102.28,1.9,5.55
228,jinchang,4,CN,1583453582,56,38.5,102.17,27.59,5.95
229,channel-port aux basques,100,CA,1583453582,82,47.57,-59.14,30.49,32.19
230,shitanjing,33,CN,1583453582,32,39.23,106.34,36.0,3.0
231,vostok,99,RU,1583453582,91,46.49,135.88,17.83,2.1
232,irtyshskiy,22,RU,1583453582,94,58.33,68.13,0.25,6.89
233,mingyue,30,CN,1583453583,75,43.11,128.92,20.07,1.03
234,hobyo,95,SO,1583453401,81,5.35,48.53,78.26,8.08
235,moche,75,PE,1583453583,78,-8.17,-79.01,75.2,10.29
236,alice springs,0,AU,1583453341,60,-23.7,133.88,73.4,1.12
237,panacan,20,PH,1583453583,88,9.25,118.41,77.0,4.7
238,ocos,20,GT,1583453584,66,14.51,-92.19,87.8,11.41
239,ribeira grande,98,PT,1583453437,74,38.52,-28.7,55.99,8.55
240,salisbury,80,GB,1583453584,86,51.07,-1.8,41.0,6.93
241,anastacio,45,BR,1583453584,69,-20.48,-55.81,75.58,4.7
242,talnakh,90,RU,1583453148,75,69.49,88.4,-20.2,20.13
243,chivilcoy,0,AR,1583453585,60,-34.9,-60.02,75.0,4.0
244,seymour,90,US,1583453585,40,38.96,-85.89,57.2,10.29
245,ilulissat,75,GL,1583453153,70,69.22,-51.1,-2.2,6.93
246,kieta,99,PG,1583453585,67,-6.22,155.63,86.14,4.88
247,lavrentiya,99,RU,1583453442,95,65.58,-171.0,4.24,3.67
248,seabra,96,BR,1583453405,95,-12.42,-41.77,65.61,3.38
249,maniitsoq,46,GL,1583453586,43,65.42,-52.9,18.41,2.33
250,ancud,58,CL,1583453427,82,-41.87,-73.82,64.4,2.24
251,makokou,100,GA,1583453587,97,0.57,12.86,71.31,0.98
252,poum,2,NC,1583453448,78,-20.23,164.02,81.81,16.4
253,vila franca do campo,20,PT,1583453458,76,37.72,-25.43,55.4,5.82
254,mezen,100,RU,1583453408,95,65.85,44.24,28.78,17.83
255,pell city,90,US,1583453587,100,33.59,-86.29,55.99,4.7
256,iqaluit,75,CA,1583453247,69,63.75,-68.51,-9.0,21.92
257,nowy targ,20,PL,1583453588,75,49.48,20.03,35.01,9.17
258,bow island,90,CA,1583453301,39,49.87,-111.37,44.6,20.8
259,deniliquin,0,AU,1583453588,62,-35.53,144.97,66.99,13.0
260,kailua,75,US,1583453354,69,21.4,-157.74,78.8,5.82
261,selikhino,91,RU,1583453589,92,50.37,137.5,16.47,3.38
262,mokhotlong,0,LS,1583453589,34,-29.29,29.07,44.62,5.73
263,sao filipe,0,CV,1583453409,63,14.9,-24.5,73.18,23.73
264,bathsheba,40,BB,1583453199,65,13.22,-59.52,78.8,19.46
265,manadhoo,33,MV,1583453590,66,5.77,73.38,81.61,1.7
266,kelowna,75,CA,1583453498,30,49.88,-119.49,53.6,5.82
267,cabo san lucas,75,MX,1583453178,53,22.89,-109.91,75.0,5.82
268,foz do iguacu,0,BR,1583453561,50,-25.55,-54.59,80.6,5.82
269,narsaq,100,GL,1583453250,37,60.92,-46.05,35.6,20.8
270,nakamura,0,JP,1583453592,52,32.98,132.93,45.63,1.81
271,turayf,2,SA,1583453435,47,31.67,38.66,57.2,13.87
272,butterworth,40,MY,1583453592,83,5.4,100.36,80.6,5.82
273,bilma,0,NE,1583453502,18,18.69,12.92,70.86,14.36
274,dandong,6,CN,1583453592,63,40.13,124.39,33.67,11.12
275,rabo de peixe,20,PT,1583453408,76,37.8,-25.58,55.4,5.82
276,longyearbyen,20,SJ,1583453173,61,78.22,15.64,12.2,9.17
277,da nang,75,VN,1583453504,88,16.07,108.22,73.4,4.7
278,makakilo city,75,US,1583453501,69,21.35,-158.09,78.8,5.82
279,bani,20,DO,1583453525,83,18.28,-70.33,80.01,5.82
280,banda aceh,92,ID,1583453594,91,5.56,95.32,73.51,3.44
281,barabai,100,ID,1583453594,96,-2.58,115.38,73.53,1.21
